contributor,site_id,long_site,lat_site,gps_accuracy,long_actual,lat_actual,skip_reason,time_submitted,foto_towards_point_compass,lively,relaxing,tranquil,noisy,crowded,safe,beauty,biodiversity,trees,shrubs,lawns,flowers,natveg,benches,play,sports,garbage,veget,paths,facilities,age_cats,gender,dutch,education,visit_freq,visit_daily,alone,oth_parks,more_inv,nature,walking,jogging,biking,relaxing.y,socialising,children,photos,geometry
38bbaf0f098ae66e96fba7f8b86f1e8c,7.0,4.84786,52.3647,3.0,4.8476,52.3647,noskip,2018-06-13T23:57:39,287.0,3.0,5.0,5.0,3.0,2.0,4.0,10.0,6.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,3.0,5.0,4.0,,,,,2.0,False,True,3.0,True,,False,True,False,True,False,,https://gpcl02.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/95/76bc9832-4f6c-4294-82b8-4367b9a6e080,POINT (4.8476 52.3647)
4a9c75cdd64ed8c9b12b7b49c69a40da,25.0,4.84582,52.3631,3.0,4.845789,52.3632,noskip,2018-06-14T22:57:32,340.0,2.0,5.0,4.0,4.0,2.0,4.0,9.0,9.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,2.0,True,4.0,1.0,True,False,2.0,True,1.0,True,True,True,True,True,False,https://gpcl08.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/101/eab951e8-80a0-44fa-a228-6c2be9369ad2,POINT (4.845789 52.3632)
1590ddade00d7fcad4e78e6daf416144,23.0,4.8455900000000005,52.3595,9.0,4.845651,52.35964,noskip,2018-05-23T19:35:15,0.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,6.0,5.0,2.0,5.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,5.0,1.0,True,4.0,1.0,True,False,2.0,False,1.0,True,False,False,True,False,True,https://gpcl03.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/18/6a40bbf3-f1dc-4262-9352-37ccbe7fe4e4,POINT (4.845651 52.35964)
ca4ddfbf81a95aba6cef2260bbf1134f,7.0,4.84786,52.3647,10.0,4.847853,52.364709999999995,noskip,2018-05-27T17:57:46,272.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,7.0,5.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,4.0,2.0,5.0,2.0,True,4.0,2.0,False,False,3.0,False,2.0,False,False,False,True,False,False,https://gpcl05.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/25/76b40e97-e511-4b45-9146-a1a6165e4ffd,POINT (4.847853 52.36471)
25ff67e61f30fb89a697b1d0e4fad2aa,7.0,4.84786,52.3647,10.0,4.847808000000001,52.36469,noskip,2018-05-27T20:55:40,359.0,4.0,5.0,4.0,3.0,2.0,4.0,8.0,8.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,1.0,True,4.0,4.0,False,False,5.0,True,1.0,False,True,False,True,False,False,https://gpcl01.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/30/29a4cfe9-9d56-4f95-8168-9cea60bd6fa0,POINT (4.847808 52.36469)
ec41871ba241d99fb8ac96784c8f7981,27.0,4.84614,52.3655,3.0,4.846057,52.36557,noskip,2018-05-30T23:07:14,209.0,5.0,1.0,1.0,5.0,5.0,5.0,8.0,3.0,2.0,2.0,3.0,5.0,2.0,4.0,1.0,1.0,3.0,4.0,5.0,3.0,,,,,2.0,False,False,5.0,True,,True,True,True,True,False,False,https://gpcl03.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/36/90ce0de4-5b22-446c-a26a-2b3af0876ec2,POINT (4.846057 52.36557)
36533937006e54fd3c538c39c0e62483,21.0,4.8467199999999995,52.3594,10.0,4.846659,52.35941,noskip,2018-06-21T10:08:17,359.0,3.0,4.0,2.0,5.0,4.0,3.0,9.0,8.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,2.0,6.0,,True,4.0,1.0,True,False,5.0,True,1.0,True,True,True,True,True,True,https://gpcl09.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/42/101f1ad0-1d92-411c-b63f-07fd74f3349c,POINT (4.846659 52.35941)
42840ea6f63ba48a09d06d6ae8934b95,13.0,4.8484,52.3615,6.0,4.848311,52.36186,noskip,2018-06-02T12:21:37,160.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,True,4.0,2.0,False,True,2.0,True,1.0,True,False,True,True,False,,https://gpcl05.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/47/cae15f5d-47d5-49ee-947b-4fe106254f3f,POINT (4.848311 52.36186)
19f70589614a413b0375619a883fda75,21.0,4.8467199999999995,52.3594,24.0,4.846899,52.35938,noskip,2018-06-08T18:45:31,309.0,3.0,4.0,5.0,4.0,3.0,3.0,7.0,4.0,5.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,,,,,5.0,False,False,4.0,False,,False,True,False,True,True,False,https://gpcl05.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/54/4e7f71a9-9135-4aef-8a58-b9c9f1d9c66a,POINT (4.846899 52.35938)
c477c9b6aa09ab03bd39ee0dbaeceee6,5.0,4.84984,52.3648,6.0,4.849954,52.365320000000004,badgps,2018-06-09T22:29:35,359.0,2.0,2.0,2.0,1.0,1.0,5.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,5.0,2.0,5.0,3.0,6.0,2.0,True,4.0,5.0,False,True,5.0,True,3.0,False,False,False,True,False,,https://gpcl02.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/59/c63861f4-5f8f-4158-82a4-df5efd1588c7,POINT (4.849954 52.36532)
53c3bb91ed8bd3685314dab0cfaf2562,18.0,4.84631,52.3607,10.0,4.846227,52.36072,noskip,2018-06-10T23:29:07,102.0,4.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,1.0,True,4.0,2.0,False,False,3.0,True,1.0,True,True,False,True,False,False,https://gpcl08.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/65/35f34d38-fef5-46f0-9949-ba7288224005,POINT (4.846227 52.36072)
